Recording Name,Accent Type,Word Index,Start Time (s),End Time (s),Top 1 Word,Top 1 Confidence (%),Top 2 Word,Top 2 Confidence (%),Top 3 Word,Top 3 Confidence (%)
russian1,russian,1,0.00,0.60,POLICE,60.56,POLISE,8.71,PLICE,8.25
russian1,russian,2,0.66,0.96,CALL,25.96,CALLD,18.33,CALLE,13.41
russian1,russian,3,1.02,1.46,TELLA,50.47,STELLA,32.38,TELA,4.40
russian1,russian,4,1.52,2.02,ASK,69.36,AS,12.89,USK,6.66
russian1,russian,5,2.08,2.28,HERE,35.19,HER,17.83,HORE,12.57
russian1,russian,6,2.36,2.46,TO,99.83,T,0.09,O,0.02
russian1,russian,7,2.50,2.80,BRING,75.64,BRINK,15.29,BING,3.31
russian1,russian,8,2.84,3.40,THESE,26.58,LHESE,12.03,THISE,12.02
russian1,russian,9,3.44,4.26,THINGS,22.80,THINKS,12.94,TINGS,11.85
russian1,russian,10,4.30,4.60,WITH,48.00,WETH,17.13,WEITH,13.94
russian1,russian,11,4.66,4.96,HERE,45.35,HER,30.11,HORE,6.17
russian1,russian,12,5.00,5.28,FROM,97.66,FOM,1.41,FRM,0.19
russian1,russian,13,5.36,5.58,THE,90.65,THET,4.34,THA,2.98
russian1,russian,14,5.64,6.22,STORE,91.85,STOR,5.58,STORK,1.08
russian1,russian,15,6.28,7.14,SIX,88.59,SHIX,5.64,TSIX,1.73
russian1,russian,16,7.20,7.60,POONS,43.48,SPOONS,26.16,PONS,6.85
russian1,russian,17,7.66,7.78,OF,90.17,O,4.96,OL,2.25
russian1,russian,18,7.84,8.18,FRESH,89.83,FRES,3.97,FREH,1.40
russian1,russian,19,8.22,8.58,SNOW,81.92,SNAW,7.50,SNOWL,4.56
russian1,russian,20,8.64,8.98,PIES,15.97,PIECE,15.96,PIECS,15.41
russian1,russian,21,9.04,9.84,FIVE,99.73,FAVE,0.08,FIV,0.06
russian1,russian,22,9.90,10.60,SIX,58.88,TIX,16.75,SHIX,16.07
